incident_id,source_records,unique_publishers,unique_domains,modalities,independent_groups,raw_minus_independent
inc_877286c4cb974cb0,1,1,1,1,1,0
inc_cd3bcf3014f0c0dd,4,3,3,1,3,1
inc_efc66b08d8232687,1,1,1,1,1,0
inc_899734adebc9b69f,1,1,1,1,1,0
inc_fbbb9069af9ee7c8,1,1,1,1,1,0
inc_3747717cc9024e95,1,1,1,1,1,0
inc_9b3741349493174d,1,1,1,1,1,0
inc_2d2b41e1613383da,1,1,1,1,1,0
inc_47adaaccbf7f8209,1,1,1,1,1,0
inc_aafbb06ab9950bf1,1,1,1,1,1,0
inc_44b5070874391f63,1,1,1,1,1,0
inc_2cd13385bcc321ae,1,1,1,1,1,0
inc_23273f5586ba00e6,1,1,1,1,1,0
inc_52a7fab42e17eb9b,1,1,1,1,1,0
inc_05b224970ae51a0f,1,1,1,1,1,0
inc_be4e966d7cbb6c30,1,1,1,1,1,0
inc_553f40043988c5ec,1,1,1,1,1,0
inc_71761d777b82fc27,1,1,1,1,1,0
inc_d361bfea956203be,2,2,2,1,2,0
inc_8fb035b87aaac889,1,1,1,1,1,0
inc_8765e355aa662fb0,1,1,1,1,1,0
inc_110a8ca3e0292f83,1,1,1,1,1,0
inc_18874cc34a979cb5,1,1,1,1,1,0
inc_5258be7775ddd77d,1,1,1,1,1,0
inc_7ca0c6c90b169e58,1,1,1,1,1,0
inc_82f68950ab77c5fd,1,1,1,1,1,0
inc_d042bb049aaa8093,1,1,1,1,1,0
inc_3729e427d559ddcc,2,2,2,1,2,0
inc_3009bd71ccabc522,1,1,1,1,1,0
inc_9bc9ca8b47f0f173,1,1,1,1,1,0
inc_cf785a4ad504f2e2,1,1,1,1,1,0
inc_58aebf6524922970,1,1,1,1,1,0
inc_09604bc74173c35b,1,1,1,1,1,0
inc_f8ccf13350fa59b2,1,1,1,1,1,0
inc_99b6f47a17d5b6bc,1,1,1,1,1,0
inc_d64acba1ff9babda,1,1,1,1,1,0
inc_2f84f52c595b1c7c,2,2,2,1,2,0
inc_4b82823672814ac3,1,1,1,1,1,0
inc_d3e7a0a673c82922,1,1,1,1,1,0
inc_9464c5f496367047,1,1,1,1,1,0
inc_798e030a1871f36e,1,1,1,1,1,0
inc_aad57ce4ab0921d8,1,1,1,1,1,0
inc_e74cd039b7a58065,1,1,1,1,1,0
inc_869149e6b80d3817,1,1,1,1,1,0
inc_0a76e53d5e60ad66,1,1,1,1,1,0
inc_1918bf026e85952e,2,2,2,1,2,0
inc_aa079a940dc49ea4,1,1,1,1,1,0
inc_6c3c8f6ef0c1faec,1,1,1,1,1,0
inc_908dc3c9d823b1cb,1,1,1,1,1,0
inc_9bca2e22d8c0dc73,1,1,1,1,1,0
inc_18d1d8d6dd5e272f,1,1,1,1,1,0
inc_f20417ef77023608,1,1,1,1,1,0
inc_313dbf7fd4323bd2,1,1,1,1,1,0
inc_8d0c52f90acc032c,1,1,1,1,1,0
inc_441f9cfa9e63b4c1,2,2,2,1,2,0
inc_9722274c9f006fcc,2,2,2,1,2,0
inc_a8f9cd1d3e3d5eaf,2,2,2,1,2,0
inc_c1f449dac221b616,1,1,1,1,1,0
inc_cd5d155574c5a07f,1,1,1,1,1,0
inc_eec5799d0c601ec1,1,1,1,1,1,0
inc_2b0c8829cd384a48,1,1,1,1,1,0
inc_27ce81734a52507b,1,1,1,1,1,0
inc_4afe5f08bc648c22,1,1,1,1,1,0
inc_541b2fb7b8685790,1,1,1,1,1,0
inc_1f68bc7efb5a1935,1,1,1,1,1,0
inc_e1423b2a7ea62aa7,1,1,1,1,1,0
inc_013915f55b8df17d,1,1,1,1,1,0
inc_1e3dfd82b6f53898,1,1,1,1,1,0
inc_6905d9c276bf5461,1,1,1,1,1,0
inc_2e703e979bbe7fc1,1,1,1,1,1,0
inc_5df3c11e0ed50e64,1,1,1,1,1,0
inc_902438c3a6e267b3,2,2,2,1,2,0
inc_0e0b3f493a82ed92,1,1,1,1,1,0
inc_735093c4f55b3fa3,1,1,1,1,1,0
inc_84eaca6a21029600,1,1,1,1,1,0
inc_fc576bdb44f262fe,1,1,1,1,1,0
inc_07ffc973dcb7ba8d,1,1,1,1,1,0
inc_3825cb9d1b40f5a4,1,1,1,1,1,0
inc_2f03ec9d722321ff,1,1,1,1,1,0
inc_eca0f5cb9d97226e,1,1,1,1,1,0
inc_98d511dce15743f7,2,2,2,1,2,0
inc_e6d21f1ef43052a8,1,1,1,1,1,0
inc_07f62d297632b7f4,1,1,1,1,1,0
inc_752ac361ff2dbd4c,1,1,1,1,1,0
inc_4570234ffba5a5b4,1,1,1,1,1,0
inc_88ac1158dcc305ce,1,1,1,1,1,0
inc_1b0392cdbf3e351b,1,1,1,1,1,0
inc_94473aab66393ecc,1,1,1,1,1,0
inc_7ab7ec596bfea492,1,1,1,1,1,0
inc_bd7e55c9b89fc4c4,2,2,2,1,2,0
inc_aeffefe5e4a36758,1,1,1,1,1,0
inc_ae1464e18578af2a,1,1,1,1,1,0
inc_6a24770219687247,1,1,1,1,1,0
inc_04306df29b31ded0,2,2,2,1,2,0
inc_364aa7e82fbf4151,1,1,1,1,1,0
inc_ae694cd8bcd83694,1,1,1,1,1,0
inc_73c95a71efcfb2b9,1,1,1,1,1,0
inc_15e6e3177a759c11,2,2,2,1,2,0
inc_7b58b6253a1b9ec9,1,1,1,1,1,0
inc_7a77aefea3758301,1,1,1,1,1,0
inc_5284be7455dd32a3,1,1,1,1,1,0
inc_da587b0b71671cb2,1,1,1,1,1,0
inc_f00383693e27bdf4,1,1,1,1,1,0
inc_b00501d382dd0cdc,1,1,1,1,1,0
inc_9015b6ed22d7fa0d,1,1,1,1,1,0
inc_309b75bce2d17472,1,1,1,1,1,0
inc_a1ffad7d24b78d68,4,4,4,1,4,0
inc_5131ee70cf6f09d2,1,1,1,1,1,0
inc_6e12fea26a5f4872,1,1,1,1,1,0
inc_e5c7c5ca6e161b7c,1,1,1,1,1,0
inc_756da5c0ad5e440a,1,1,1,1,1,0
inc_e9a7bbc02bb7947b,1,1,1,1,1,0
inc_b999f5a76e0d8aef,1,1,1,1,1,0
inc_ac718a8fc508e843,2,2,2,1,2,0
inc_d0bfb70c8cf38bd8,1,1,1,1,1,0
inc_c0c3f0eba1ad36b5,1,1,1,1,1,0
inc_c2cd5de220582858,1,1,1,1,1,0
inc_85975728550c5397,1,1,1,1,1,0
inc_474215094cb37350,1,1,1,1,1,0
inc_639e4a0807ef8945,1,1,1,1,1,0
inc_5a9d5b4dcedd6f82,1,1,1,1,1,0
inc_341558a22b5907cc,1,1,1,1,1,0
inc_6d364c81d3c82d2c,1,1,1,1,1,0
inc_a280cbdf12ed082e,1,1,1,1,1,0
inc_f33fe3361d9eefe8,1,1,1,1,1,0
inc_949412100c667cb6,1,1,1,1,1,0
inc_4e7fbffb91a2ca96,1,1,1,1,1,0
inc_b91bedc457088087,1,1,1,1,1,0
inc_fff928196c25af3b,2,2,2,1,2,0
inc_749096c82dd8cb53,1,1,1,1,1,0
inc_bb53e500864a746b,1,1,1,1,1,0
inc_c76dd2b445cd33d1,2,2,2,1,2,0
inc_0da373c77cfcafc3,1,1,1,1,1,0
inc_5509276c23c2f8fc,1,1,1,1,1,0
inc_cff118529b08bf3f,1,1,1,1,1,0
inc_0f9a317c484cbe7a,1,1,1,1,1,0
inc_c6a2435d0cdb9040,1,1,1,1,1,0
inc_1708594de9774ff5,1,1,1,1,1,0
inc_cf1f014eae03647d,1,1,1,1,1,0
inc_eb30988ad3406aa1,1,1,1,1,1,0
inc_4939fb0bbbe82949,4,4,4,1,4,0
inc_180d8aa6483e2582,1,1,1,1,1,0
inc_5479e3c12a19c525,1,1,1,1,1,0
inc_7565a1a824e6891f,1,1,1,1,1,0
inc_f0c65510f125fc15,1,1,1,1,1,0
inc_c856691e152256da,1,1,1,1,1,0
inc_18be641a943046f2,1,1,1,1,1,0
inc_6d040957f2751812,2,2,2,1,2,0
inc_23ffcc197e990d2a,1,1,1,1,1,0
inc_e710fb8b3fda7203,1,1,1,1,1,0
inc_7644dd6b225651d0,1,1,1,1,1,0
inc_ab90f1ed6f159c33,1,1,1,1,1,0
inc_f2be66076f89748f,1,1,1,1,1,0
inc_c3e5421b076c6921,1,1,1,1,1,0
inc_d812d1f0b2d79ea8,1,1,1,1,1,0
inc_ad3fdd49ff0d7fd4,1,1,1,1,1,0
inc_a4922f12daefacfd,1,1,1,1,1,0
inc_245aab0e26d29a0a,1,1,1,1,1,0
inc_7d57b630fade0ee1,1,1,1,1,1,0
inc_cf37c10c70da85af,1,1,1,1,1,0
inc_cf961972d2d7820d,1,1,1,1,1,0
inc_5b60aba75bbdb12e,1,1,1,1,1,0
inc_64dc0bc32d6d37ee,1,1,1,1,1,0
inc_3faca311aff4eccc,1,1,1,1,1,0
inc_89a295ec5ad7db54,1,1,1,1,1,0
inc_3350309c7be3aadb,1,1,1,1,1,0
inc_9aeb751843b8193f,2,2,2,1,2,0
inc_8beb7a64e2621160,1,1,1,1,1,0
inc_62396e2ee9127ede,1,1,1,1,1,0
inc_b3bb90ef4fe0e1ec,1,1,1,1,1,0
inc_e7a066a6af6be556,1,1,1,1,1,0
inc_c12282000920ae11,1,1,1,1,1,0
inc_e5ec4d626084010c,1,1,1,1,1,0
inc_6137d2fdffbb7ba5,1,1,1,1,1,0
inc_8ef96c98eaeb0948,1,1,1,1,1,0
